#  Timestep    No_Moles    No_Specs   Si192O384           H
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        960           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        965           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        970           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        975           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        980           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        985           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        990           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        995           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1000           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1005           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1010           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1015           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1020           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1025           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1030           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1035           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1040           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1045           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1050           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1055           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1060           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1065           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
       1070           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1075           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1080           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1085           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1090           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1095           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1100           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1105           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1110           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1115           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1120           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1125           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1130           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1135           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1140           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1145           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1150           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1155           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1160           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1165           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1170           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1175           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1180           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1185           4           2           1           3
#  Timestep    No_Moles    No_Specs Si192O384H7           H
       1190           4           2           1           3
