# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
862000 0.00028893
863000 0.000435524
864000 0.000244388
865000 0.000149134
866000 -0.000116891
867000 0.000132769
868000 0.000428673
869000 0.000211265
870000 -1.75343e-05
871000 0.000119417
872000 0.00046501
873000 0.000328053
874000 1.74138e-05
875000 -1.89545e-05
876000 8.50676e-05
877000 0.000271291
878000 0.000163561
879000 6.61636e-05
880000 0.000177096
881000 0.000155013
882000 8.69055e-05
883000 0.000270666
884000 1.66766e-05
885000 -1.45245e-05
886000 0.000266872
887000 0.000239895
888000 0.000285284
889000 0.000180036
890000 -0.000144812
891000 -9.33745e-05
892000 0.000100979
893000 0.000384918
894000 8.80915e-05
895000 0.000121826
896000 0.000204267
897000 0.000242479
898000 0.000107567
899000 0.000135901
900000 0.000291453
901000 0.000161872
902000 0.000135572
903000 -8.87795e-05
904000 -6.15215e-05
905000 0.000259091
906000 0.000381071
907000 0.00014914
908000 0.000265374
909000 0.000210069
910000 0.000282352
911000 1.53107e-05
912000 0.00010781
913000 9.30494e-05
914000 0.000205022
915000 0.0001173
916000 0.000114873
917000 0.000139379
