# Time-averaged data for fix myat2
# TimeStep v_delta_x
160500 20.0877
160600 20.0402
160700 20.0235
160800 20.1155
160900 20.0788
161000 20.1954
161100 20.1839
161200 19.9357
161300 19.6839
161400 19.7814
161500 19.6939
161600 19.8553
161700 20.2271
161800 20.4199
161900 20.7745
162000 20.9923
162100 21.0666
162200 21.4571
162300 21.1556
162400 20.9561
162500 21.1662
162600 20.9746
162700 20.7819
162800 21.0522
162900 20.8972
163000 20.6383
163100 20.3633
163200 20.1685
163300 20.1288
163400 20.0824
163500 20.2647
163600 20.3688
163700 20.6216
163800 21.2011
163900 21.0006
164000 20.9816
164100 21.2186
164200 21.1157
164300 21.0573
164400 21.3523
164500 21.417
164600 21.442
164700 21.1575
164800 21.5648
164900 21.815
165000 21.9363
165100 21.5932
165200 21.4561
165300 21.6568
165400 21.7412
165500 21.1848
165600 20.8382
165700 21.1014
165800 21.2676
165900 21.6091
166000 22.172
166100 22.0095
166200 22.1425
166300 21.9717
166400 21.8835
166500 21.6828
166600 21.9202
166700 21.8303
166800 21.3759
166900 20.99
167000 21.4131
167100 21.5772
167200 22.1417
167300 22.257
167400 21.9988
167500 21.9513
167600 21.8465
167700 21.6998
167800 21.8164
167900 22.2754
168000 22.5719
168100 22.3545
168200 22.23
168300 22.3309
168400 22.2156
168500 22.3021
168600 22.6386
168700 22.5085
168800 22.4272
168900 22.5052
169000 23.0167
169100 22.8418
169200 22.9498
169300 22.9938
169400 22.7166
169500 22.6972
169600 22.5958
169700 22.1229
169800 22.1504
169900 22.4914
170000 22.4058
170100 22.3843
170200 22.7245
170300 22.733
170400 22.5083
170500 22.5074
170600 22.4542
170700 22.7693
170800 22.8723
170900 22.6322
171000 22.5724
171100 23.0329
171200 23.0013
171300 22.963
171400 22.6777
171500 22.3054
171600 22.1538
171700 21.8752
171800 21.9077
171900 22.2725
172000 22.38
172100 22.7514
172200 23.0926
172300 23.0995
172400 22.928
172500 23.0088
172600 23.0081
172700 22.4685
172800 22.4002
172900 22.8737
173000 22.5568
173100 22.1903
173200 22.2918
173300 22.4108
173400 22.6105
173500 22.6239
173600 22.777
173700 22.3938
